codecommune,codedep,election_type,Year,far_right_relvotes,far_right_votes,turnout,incumbents_relvotes,incumbents_votes,greens_relvotes,greens_votes,right_relvotes,right_votes,socialists_relvotes,socialists_votes
36157,36,E,2024,0.563636363636364,93,0.570934256055363,0.121212121212121,20,0.00606060606060606,1,0.0484848484848485,8,0.0727272727272727,12
36158,36,E,2024,0.407166123778502,125,0.605522682445759,0.107491856677524,33,0.0586319218241042,18,0.0423452768729642,13,0.140065146579805,43
36159,36,E,2024,0.36196980589504,1007,0.565332249542776,0.173256649892164,482,0.0337886412652768,94,0.0758447160316319,211,0.141984184040259,395
36160,36,E,2024,0.464285714285714,52,0.577319587628866,0.0803571428571429,9,0,0,0.0535714285714286,6,0.0892857142857143,10
36161,36,E,2024,0.457680250783699,146,0.503154574132492,0.0971786833855799,31,0.0188087774294671,6,0.0783699059561129,25,0.0846394984326019,27
36162,36,E,2024,0.385041551246537,139,0.587947882736156,0.132963988919668,48,0.0138504155124654,5,0.0692520775623269,25,0.10803324099723,39
36163,36,E,2024,0.383561643835616,84,0.496598639455782,0.200913242009132,44,0.0365296803652968,8,0.0776255707762557,17,0.0821917808219178,18
36164,36,E,2024,0.366666666666667,33,0.502793296089386,0.155555555555556,14,0.0555555555555556,5,0.0777777777777778,7,0.1,9
36165,36,E,2024,0.431818181818182,209,0.55125284738041,0.173553719008264,84,0.0268595041322314,13,0.0537190082644628,26,0.0929752066115702,45
36166,36,E,2024,0.524271844660194,54,0.613095238095238,0.0970873786407767,10,0.00970873786407767,1,0.0485436893203884,5,0.058252427184466,6
36167,36,E,2024,0.414634146341463,34,0.656,0.121951219512195,10,0.0365853658536585,3,0.146341463414634,12,0.0487804878048781,4
36168,36,E,2024,0.353146853146853,101,0.555339805825243,0.164335664335664,47,0.0524475524475525,15,0.136363636363636,39,0.0839160839160839,24
36169,36,E,2024,0.584541062801932,121,0.494033412887828,0.0676328502415459,14,0.0289855072463768,6,0.0193236714975845,4,0.0434782608695652,9
36170,36,E,2024,0.3,12,0.645161290322581,0.15,6,0.1,4,0.1,4,0.025,1
36171,36,E,2024,0.403693931398417,306,0.523480662983426,0.130606860158311,99,0.0211081794195251,16,0.0725593667546174,55,0.12664907651715,96
36172,36,E,2024,0.393939393939394,104,0.565310492505353,0.117424242424242,31,0.0189393939393939,5,0.0757575757575758,20,0.143939393939394,38
36173,36,E,2024,0.343891402714932,76,0.605479452054795,0.149321266968326,33,0.0633484162895928,14,0.0361990950226244,8,0.0904977375565611,20
36174,36,E,2024,0.275862068965517,40,0.555555555555556,0.179310344827586,26,0.00689655172413793,1,0.0896551724137931,13,0.172413793103448,25
36175,36,E,2024,0.467213114754098,57,0.488,0.131147540983607,16,0,0,0.0737704918032787,9,0.0491803278688525,6
36176,36,E,2024,0.384279475982533,88,0.514606741573034,0.209606986899563,48,0.0262008733624454,6,0.0524017467248908,12,0.0305676855895197,7
36177,36,E,2024,0.219512195121951,27,0.525641025641026,0.211382113821138,26,0.024390243902439,3,0.0487804878048781,6,0.138211382113821,17
36178,36,E,2024,0.48062015503876,62,0.524390243902439,0.10077519379845,13,0.00775193798449612,1,0.00775193798449612,1,0.13953488372093,18
36179,36,E,2024,0.538461538461538,42,0.5,0.0769230769230769,6,0.0384615384615385,3,0.0897435897435897,7,0.0256410256410256,2
36180,36,E,2024,0.455587392550143,159,0.53858024691358,0.128939828080229,45,0.0401146131805158,14,0.0859598853868195,30,0.0573065902578797,20
36181,36,E,2024,0.280487804878049,23,0.577464788732394,0.158536585365854,13,0.0121951219512195,1,0.109756097560976,9,0.134146341463415,11
36182,36,E,2024,0.378854625550661,86,0.531615925058548,0.079295154185022,18,0.039647577092511,9,0.039647577092511,9,0.162995594713656,37
36184,36,E,2024,0.415458937198068,86,0.5390625,0.154589371980676,32,0.0338164251207729,7,0.0628019323671498,13,0.115942028985507,24
36185,36,E,2024,0.448051948051948,69,0.568265682656827,0.0909090909090909,14,0.0194805194805195,3,0.051948051948052,8,0.038961038961039,6
36186,36,E,2024,0.342592592592593,37,0.586956521739131,0.148148148148148,16,0.037037037037037,4,0.0555555555555556,6,0.0648148148148148,7
36187,36,E,2024,0.315068493150685,23,0.629310344827586,0.123287671232877,9,0.0410958904109589,3,0.10958904109589,8,0.0958904109589041,7
36188,36,E,2024,0.3875,31,0.567375886524823,0.0625,5,0.05,4,0.0625,5,0.125,10
36189,36,E,2024,0.434173669467787,155,0.5,0.117647058823529,42,0.0224089635854342,8,0.0644257703081232,23,0.0756302521008403,27
36190,36,E,2024,0.511278195488722,68,0.630331753554502,0.0225563909774436,3,0.0225563909774436,3,0.135338345864662,18,0.0977443609022556,13
36191,36,E,2024,0.522167487684729,106,0.53421052631579,0.0935960591133005,19,0.0394088669950739,8,0.0541871921182266,11,0.0443349753694581,9
36192,36,E,2024,0.355716878402904,196,0.498191681735986,0.136116152450091,75,0.0254083484573503,14,0.0834845735027223,46,0.136116152450091,75
36193,36,E,2024,0.424242424242424,56,0.634615384615385,0.0909090909090909,12,0.0303030303030303,4,0.0227272727272727,3,0.143939393939394,19
36194,36,E,2024,0.533707865168539,190,0.525073746312684,0.132022471910112,47,0.0168539325842697,6,0.0421348314606742,15,0.0842696629213483,30
